sci,en,class_,order_,family,wiki,source
Litoria caerulea,Australian green tree frog,Amphibia,Anura,Pelodryadidae,Australian_green_tree_frog,existing
Pelophylax ridibundus,marsh frog,Amphibia,Anura,Ranidae,Pelophylax_ridibundus,existing
Pseudacris crucifer,spring peeper,Amphibia,Anura,Hylidae,Spring_peeper,existing
Rana temporaria,common frog,Amphibia,Anura,Ranidae,Common_frog,existing
Rhinella marina,cane toad,Amphibia,Anura,Bufonidae,Cane_toad,existing
Xenopus laevis,african clawed frog,Amphibia,Anura,Pipidae,African_clawed_frog,existing
Acanthisitta chloris,rifleman,Aves,Passeriformes,Acanthisittidae,Rifleman_(bird),existing
Acrocephalus arundinaceus,great reed warbler,Aves,Passeriformes,Acrocephalidae,Acrocephalus_arundinaceus,existing
Acrocephalus palustris,marsh warbler,Aves,Passeriformes,Acrocephalidae,Acrocephalus_palustris,existing
Acrocephalus scirpaceus,reed warbler,Aves,Passeriformes,Acrocephalidae,Eurasian_reed_warbler,existing
Aegithalos caudatus,long-tailed tit,Aves,Passeriformes,Aegithalidae,Long-tailed_tit,existing
Agelaius phoeniceus,red-winged blackbird,Aves,Passeriformes,Icteridae,Red-winged_blackbird,existing
Alauda arvensis,eurasian skylark,Aves,Passeriformes,Alaudidae,Eurasian_skylark,existing
Amazona amazonica,orange-winged amazon,Aves,Psittaciformes,Psittacidae,Amazona_amazonica,existing
Anas platyrhynchos,mallard,Aves,Anseriformes,Anatidae,Mallard,existing
Anthus pratensis,meadow pipit,Aves,Passeriformes,Motacillidae,Meadow_pipit,existing
Aptenodytes patagonicus,king penguin,Aves,Sphenisciformes,Spheniscidae,King_penguin,existing
Apus apus,common swift,Aves,Apodiformes,Apodidae,Common_swift,existing
Ara macao,scarlet macaw,Aves,Psittaciformes,Psittacidae,Scarlet_macaw,existing
Branta canadensis,Canada goose,Aves,Anseriformes,Anatidae,Canada_goose,existing
Bubo bubo,eurasian eagle-owl,Aves,Strigiformes,Strigidae,Eurasian_eagle-owl,existing
Cacatua galerita,sulphur-crested cockatoo,Aves,Psittaciformes,Psittacidae,Cacatua_galerita,existing
Calidris pusilla,semipalmated sandpiper,Aves,Charadriiformes,Scolopacidae,Semipalmated_sandpiper,existing
Cardinalis cardinalis,northern cardinal,Aves,Passeriformes,Cardinalidae,Cardinalis_cardinalis,existing
Carduelis carduelis,european goldfinch,Aves,Passeriformes,Fringillidae,European_goldfinch,existing
Cinclus cinclus,white-throated dipper,Aves,Passeriformes,Cinclidae,White-throated_dipper,existing
Columba livia,common pigeon,Aves,Columbiformes,Columbidae,Rock_dove,existing
Corvus brachyrhynchos,american crow,Aves,Passeriformes,Corvidae,Corvus_brachyrhynchos,existing
Corvus corax,common raven,Aves,Passeriformes,Corvidae,Common_raven,existing
Corvus corone,carrion crow,Aves,Passeriformes,Corvidae,Carrion_crow,existing
Corvus frugilegus,rook,Aves,Passeriformes,Corvidae,Corvus_frugilegus,existing
Corvus monedula,western jackdaw,Aves,Passeriformes,Corvidae,Corvus_monedula,existing
Corvus moneduloides,new caledonian crow,Aves,Passeriformes,Corvidae,Corvus_moneduloides,existing
Coturnix japonica,japanese quail,Aves,Galliformes,Phasianidae,Japanese_quail,existing
Cuculus canorus,common cuckoo,Aves,Cuculiformes,Cuculidae,Common_cuckoo,existing
Cyanistes caeruleus,Eurasian blue tit,Aves,Passeriformes,Paridae,Eurasian_blue_tit,existing
Cyanocitta cristata,blue jay,Aves,Passeriformes,Corvidae,Blue_jay,existing
Cyanocitta stelleri,steller's jay,Aves,Passeriformes,Corvidae,Cyanocitta_stelleri,existing
Dryobates pubescens,hairy woodpecker,Aves,Piciformes,Picidae,Hairy_woodpecker,existing
Erithacus rubecula,european robin,Aves,Passeriformes,Muscicapidae,European_robin,existing
Forpus passerinus,green-rumped parrotlet,Aves,Psittaciformes,Psittacidae,Forpus_passerinus,existing
Fringilla coelebs,common chaffinch,Aves,Passeriformes,Fringillidae,Common_chaffinch,existing
Gallus gallus,red junglefowl / chicken,Aves,Galliformes,Phasianidae,Gallus_gallus,existing
Gallus gallus domesticus,domestic chick,Aves,Galliformes,Phasianidae,Gallus_gallus_domesticus,existing
Garrulus glandarius,eurasian jay,Aves,Passeriformes,Corvidae,Eurasian_jay,existing
Geospiza fortis,medium ground finch,Aves,Passeriformes,Thraupidae,Medium_ground_finch,existing
Geothlypis trichas,common yellowthroat,Aves,Passeriformes,Parulidae,Geothlypis_trichas,existing
Hirundo rustica,barn swallow,Aves,Passeriformes,Hirundinidae,Barn_swallow,existing
Junco hyemalis,dark-eyed junco,Aves,Passeriformes,Passerellidae,Dark-eyed_junco,existing
Lonchura striata domestica,bengalese finch,Aves,Passeriformes,Estrildidae,Bengalese_finch,existing
Luscinia megarhynchos,common nightingale,Aves,Passeriformes,Muscicapidae,Common_nightingale,existing
Manacus vitellinus,golden-collared manakin,Aves,Passeriformes,Pipridae,Manacus_vitellinus,existing
Melopsittacus undulatus,budgerigar,Aves,Psittaciformes,Psittaculidae,Budgerigar,existing
Melospiza melodia,song sparrow,Aves,Passeriformes,Passerellidae,Song_sparrow,existing
Mimus polyglottos,northern mockingbird,Aves,Passeriformes,Mimidae,Northern_mockingbird,existing
Nestor notabilis,kea,Aves,Psittaciformes,Psittacidae,Nestor_notabilis,existing
Nucifraga columbiana,Clark's nutcracker,Aves,Passeriformes,Corvidae,Clark's_nutcracker,existing
Parus major,great tit,Aves,Passeriformes,Paridae,Great_tit,existing
Parus minor,japanese tit,Aves,Passeriformes,Paridae,Japanese_tit,existing
Passer domesticus,house sparrow,Aves,Passeriformes,Passeridae,House_sparrow,existing
Pavo cristatus,Indian peafowl,Aves,Galliformes,Phasianidae,Indian_peafowl,existing
Phylloscopus collybita,common chiffchaff,Aves,Passeriformes,Phylloscopidae,Common_chiffchaff,existing
Phylloscopus trochilus,willow warbler,Aves,Passeriformes,Phylloscopidae,Willow_warbler,existing
Pica pica,eurasian magpie,Aves,Passeriformes,Corvidae,Eurasian_magpie,existing
Picoides pubescens,downy woodpecker,Aves,Piciformes,Picidae,Downy_woodpecker,existing
Poecile atricapillus,black-capped chickadee,Aves,Passeriformes,Paridae,Black-capped_chickadee,existing
Psittacus erithacus,african grey parrot,Aves,Psittaciformes,Psittacidae,Grey_parrot,existing
Pygoscelis adeliae,adélie penguin,Aves,Sphenisciformes,Spheniscidae,Pygoscelis_adeliae,existing
Quiscalus quiscula,common grackle,Aves,Passeriformes,Icteridae,Common_grackle,existing
Regulus regulus,goldcrest,Aves,Passeriformes,Regulidae,Goldcrest,existing
Serinus canaria,domestic canary,Aves,Passeriformes,Fringillidae,Domestic_canary,existing
Sitta europaea,eurasian nuthatch,Aves,Passeriformes,Sittidae,Eurasian_nuthatch,existing
Spheniscus demersus,african penguin,Aves,Sphenisciformes,Spheniscidae,Spheniscus_demersus,existing
Spheniscus humboldti,humboldt penguin,Aves,Sphenisciformes,Spheniscidae,Spheniscus_humboldti,existing
Strix occidentalis,spotted owl,Aves,Strigiformes,Strigidae,Strix_occidentalis,existing
Sturnus unicolor,spotless starling,Aves,Passeriformes,Sturnidae,Sturnus_unicolor,existing
Sturnus vulgaris,european starling,Aves,Passeriformes,Sturnidae,Common_starling,existing
Sylvia atricapilla,eurasian blackcap,Aves,Passeriformes,Sylviidae,Eurasian_blackcap,existing
Tachycineta bicolor,tree swallow,Aves,Passeriformes,Hirundinidae,Tree_swallow,existing
Taeniopygia guttata,zebra finch,Aves,Passeriformes,Estrildidae,Zebra_finch,existing
Toxostoma rufum,brown thrasher,Aves,Passeriformes,Mimidae,Brown_thrasher,existing
Turdoides bicolor,southern pied babbler,Aves,Passeriformes,Leiothrichidae,Turdoides_bicolor,existing
Turdus merula,common blackbird,Aves,Passeriformes,Turdidae,Common_blackbird,existing
Turdus migratorius,american robin,Aves,Passeriformes,Turdidae,Turdus_migratorius,existing
Turdus philomelos,song thrush,Aves,Passeriformes,Turdidae,Song_thrush,existing
Tympanuchus cupido,greater prairie chicken,Aves,Galliformes,Phasianidae,Tympanuchus_cupido,existing
Tyto alba,barn owl,Aves,Strigiformes,Tytonidae,Barn_owl,existing
Vidua chalybeata,village indigobird,Aves,Passeriformes,Viduidae,Vidua_chalybeata,existing
Zonotrichia leucophrys,white-crowned sparrow,Aves,Passeriformes,Passerellidae,White-crowned_sparrow,existing
Loligo vulgaris,european squid,Cephalopoda,Myopsida,Loliginidae,Loligo_vulgaris,existing
Octopus vulgaris,common octopus,Cephalopoda,Octopoda,Octopodidae,Common_octopus,existing
Sepia officinalis,common cuttlefish,Cephalopoda,Sepiida,Sepiidae,Common_cuttlefish,existing
Crocodylus porosus,saltwater crocodile,Crocodylia,,Crocodylidae,Crocodylus_porosus,existing
Acheta domesticus,house cricket,Insecta,Orthoptera,Gryllidae,House_cricket,existing
Aedes aegypti,yellow fever mosquito,Insecta,Diptera,Culicidae,Aedes_aegypti,existing
Anopheles gambiae,african malaria mosquito,Insecta,Diptera,Culicidae,Anopheles_gambiae,existing
Apis mellifera,honey bee,Insecta,Hymenoptera,Apidae,Western_honey_bee,existing
Bombus terrestris,buff-tailed bumblebee,Insecta,Hymenoptera,Apidae,Bombus_terrestris,existing
Chorthippus biguttulus,bow-winged grasshopper,Insecta,Orthoptera,Acrididae,Chorthippus_biguttulus,existing
Cicada orni,manna ash cicada,Insecta,Hemiptera,Cicadidae,Cicada_orni,existing
Drosophila melanogaster,fruit fly,Insecta,Diptera,Drosophilidae,Drosophila_melanogaster,existing
Ephippiger ephippiger,saddle-bearing bushcricket,Insecta,Orthoptera,Tettigoniidae,Ephippiger_ephippiger,existing
Galleria mellonella,greater wax moth,Insecta,Lepidoptera,Pyralidae,Galleria_mellonella,existing
Gryllus bimaculatus,field cricket,Insecta,Orthoptera,Gryllidae,Field_cricket,existing
Magicicada septendecim,17-year periodical cicada,Insecta,Hemiptera,Cicadidae,Magicicada,existing
Oecanthus pellucens,italian tree cricket,Insecta,Orthoptera,Gryllidae,Oecanthus_pellucens,existing
Schistocerca gregaria,desert locust,Insecta,Orthoptera,Acrididae,Desert_locust,existing
Teleogryllus oceanicus,pacific field cricket,Insecta,Orthoptera,Gryllidae,Pacific_field_cricket,existing
Tettigonia viridissima,great green bush-cricket,Insecta,Orthoptera,Tettigoniidae,Tettigonia_viridissima,existing
Acinonyx jubatus,cheetah,Mammalia,Carnivora,Felidae,Cheetah,existing
Alces alces,moose,Mammalia,Artiodactyla,Cervidae,Alces_alces,existing
Alouatta caraya,black howler monkey,Mammalia,Primates,Atelidae,Alouatta_caraya,existing
Alouatta palliata,mantled howler monkey,Mammalia,Primates,Atelidae,Mantled_howler,existing
Arctocephalus tropicalis,subantarctic fur seal,Mammalia,Carnivora,Otariidae,Arctocephalus_tropicalis,existing
Balaena mysticetus,bowhead whale,Mammalia,Cetacea,Balaenidae,Balaena_mysticetus,existing
Balaenoptera acutorostrata,common minke whale,Mammalia,Cetacea,Balaenopteridae,Common_minke_whale,existing
Balaenoptera musculus,blue whale,Mammalia,Cetacea,Balaenopteridae,Blue_whale,existing
Balaenoptera physalus,fin whale,Mammalia,Cetacea,Balaenopteridae,Fin_whale,existing
Bison bison,american bison,Mammalia,Artiodactyla,Bovidae,Bison_bison,existing
Bos taurus,domestic cattle,Mammalia,Artiodactyla,Bovidae,Cattle,existing
Callicebus nigrifrons,black-fronted titi monkey,Mammalia,Primates,Pitheciidae,Black-fronted_titi,existing
Callithrix jacchus,common marmoset,Mammalia,Primates,Callitrichidae,Common_marmoset,existing
Canis lupus,grey wolf,Mammalia,Carnivora,Canidae,Wolf,existing
Canis lupus familiaris,domestic dog,Mammalia,Carnivora,Canidae,Dog,existing
Capra hircus,domestic goat,Mammalia,Artiodactyla,Bovidae,Goat,existing
Capreolus capreolus,roe deer,Mammalia,Artiodactyla,Cervidae,Capreolus_capreolus,existing
Carollia perspicillata,Seba's short-tailed bat,Mammalia,Chiroptera,Phyllostomidae,Seba's_short-tailed_bat,existing
Castor canadensis,North American beaver,Mammalia,Rodentia,Castoridae,North_American_beaver,existing
Cavia porcellus,guinea pig,Mammalia,Rodentia,Caviidae,Guinea_pig,existing
Cebus capucinus,white-faced capuchin,Mammalia,Primates,Cebidae,Panamanian_white-faced_capuchin,existing
Cercocebus atys,sooty mangabey,Mammalia,Primates,Cercopithecidae,Sooty_mangabey,existing
Cercopithecus diana,diana monkey,Mammalia,Primates,Cercopithecidae,Cercopithecus_diana,existing
Cercopithecus mitis,blue monkey,Mammalia,Primates,Cercopithecidae,Blue_monkey,existing
Cercopithecus nictitans,putty-nosed monkey,Mammalia,Primates,Cercopithecidae,Cercopithecus_nictitans,existing
Cervus elaphus,red deer,Mammalia,Artiodactyla,Cervidae,Red_deer,existing
Chlorocebus pygerythrus,vervet monkey,Mammalia,Primates,Cercopithecidae,Vervet_monkey,existing
Crocuta crocuta,spotted hyena,Mammalia,Carnivora,Hyaenidae,Spotted_hyena,existing
Cynomys ludovicianus,black-tailed prairie dog,Mammalia,Rodentia,Sciuridae,Black-tailed_prairie_dog,existing
Dama dama,fallow deer,Mammalia,Artiodactyla,Cervidae,Dama_dama,existing
Delphinapterus leucas,beluga whale,Mammalia,Cetacea,Monodontidae,Beluga_whale,existing
Desmodus rotundus,common vampire bat,Mammalia,Chiroptera,Phyllostomidae,Common_vampire_bat,existing
Elephas maximus,asian elephant,Mammalia,Proboscidea,Elephantidae,Asian_elephant,existing
Eptesicus fuscus,big brown bat,Mammalia,Chiroptera,Vespertilionidae,Big_brown_bat,existing
Equus caballus,domestic horse,Mammalia,Perissodactyla,Equidae,Horse,existing
Eschrichtius robustus,gray whale,Mammalia,Cetacea,Eschrichtiidae,Eschrichtius_robustus,existing
Eubalaena glacialis,North Atlantic right whale,Mammalia,Cetacea,Balaenidae,North_Atlantic_right_whale,existing
Eulemur fulvus,common brown lemur,Mammalia,Primates,Lemuridae,Eulemur_fulvus,existing
Eumetopias jubatus,steller sea lion,Mammalia,Carnivora,Otariidae,Eumetopias_jubatus,existing
Felis catus,domestic cat,Mammalia,Carnivora,Felidae,Cat,existing
Galago senegalensis,senegal bushbaby,Mammalia,Primates,Galagidae,Galago_senegalensis,existing
Giraffa camelopardalis,giraffe,Mammalia,Artiodactyla,Giraffidae,Giraffa_camelopardalis,existing
Globicephala macrorhynchus,short-finned pilot whale,Mammalia,Cetacea,Delphinidae,Globicephala_macrorhynchus,existing
Globicephala melas,long-finned pilot whale,Mammalia,Cetacea,Delphinidae,Long-finned_pilot_whale,existing
Gorilla gorilla,western gorilla,Mammalia,Primates,Hominidae,Western_gorilla,existing
Halichoerus grypus,grey seal,Mammalia,Carnivora,Phocidae,Grey_seal,existing
Helogale parvula,common dwarf mongoose,Mammalia,Carnivora,Herpestidae,Helogale_parvula,existing
Heterocephalus glaber,naked mole-rat,Mammalia,Rodentia,Bathyergidae,Naked_mole-rat,existing
Hippopotamus amphibius,common hippopotamus,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus_amphibius,existing
Homo sapiens,human,Mammalia,Primates,Hominidae,Human,existing
Hylobates lar,lar gibbon,Mammalia,Primates,Hylobatidae,Lar_gibbon,existing
Indri indri,indri,Mammalia,Primates,Indriidae,Indri,existing
Lagenorhynchus obliquidens,pacific white-sided dolphin,Mammalia,Cetacea,Delphinidae,Lagenorhynchus_obliquidens,existing
Lemur catta,ring-tailed lemur,Mammalia,Primates,Lemuridae,Ring-tailed_lemur,existing
Leptonychotes weddellii,Weddell seal,Mammalia,Carnivora,Phocidae,Weddell_seal,existing
Loxodonta africana,african elephant,Mammalia,Proboscidea,Elephantidae,African_bush_elephant,existing
Loxodonta cyclotis,african forest elephant,Mammalia,Proboscidea,Elephantidae,Loxodonta_cyclotis,existing
Lycaon pictus,African wild dog,Mammalia,Carnivora,Canidae,African_wild_dog,existing
Macaca fascicularis,long-tailed macaque,Mammalia,Primates,Cercopithecidae,Macaca_fascicularis,existing
Macaca fuscata,japanese macaque,Mammalia,Primates,Cercopithecidae,Macaca_fuscata,existing
Macaca mulatta,rhesus macaque,Mammalia,Primates,Cercopithecidae,Rhesus_macaque,existing
Marmota flaviventris,yellow-bellied marmot,Mammalia,Rodentia,Sciuridae,Marmota_flaviventris,existing
Marmota marmota,alpine marmot,Mammalia,Rodentia,Sciuridae,Alpine_marmot,existing
Megaptera novaeangliae,humpback whale,Mammalia,Cetacea,Balaenopteridae,Humpback_whale,existing
Mephitis mephitis,striped skunk,Mammalia,Carnivora,Mephitidae,Striped_skunk,existing
Meriones unguiculatus,mongolian gerbil,Mammalia,Rodentia,Muridae,Meriones_unguiculatus,existing
Microcebus murinus,grey mouse lemur,Mammalia,Primates,Cheirogaleidae,Gray_mouse_lemur,existing
Mirounga angustirostris,northern elephant seal,Mammalia,Carnivora,Phocidae,Northern_elephant_seal,existing
Mirounga leonina,southern elephant seal,Mammalia,Carnivora,Phocidae,Mirounga_leonina,existing
Monodon monoceros,narwhal,Mammalia,Cetacea,Monodontidae,Narwhal,existing
Mus musculus,house mouse,Mammalia,Rodentia,Muridae,House_mouse,existing
Mustela putorius furo,domestic ferret,Mammalia,Carnivora,Mustelidae,Domestic_ferret,existing
Myotis daubentonii,daubenton's bat,Mammalia,Chiroptera,Vespertilionidae,Myotis_daubentonii,existing
Myotis lucifugus,little brown bat,Mammalia,Chiroptera,Vespertilionidae,Little_brown_bat,existing
Noctilio leporinus,greater bulldog bat,Mammalia,Chiroptera,Noctilionidae,Noctilio_leporinus,existing
Nomascus concolor,black crested gibbon,Mammalia,Primates,Hylobatidae,Western_black_crested_gibbon,existing
Octodon degus,common degu,Mammalia,Rodentia,Octodontidae,Octodon_degus,existing
Odobenus rosmarus,walrus,Mammalia,Carnivora,Odobenidae,Odobenus_rosmarus,existing
Orcinus orca,orca,Mammalia,Cetacea,Delphinidae,Killer_whale,existing
Ovis aries,domestic sheep,Mammalia,Artiodactyla,Bovidae,Sheep,existing
Pagophilus groenlandicus,harp seal,Mammalia,Carnivora,Phocidae,Pagophilus_groenlandicus,existing
Pan paniscus,bonobo,Mammalia,Primates,Hominidae,Bonobo,existing
Pan troglodytes,chimpanzee,Mammalia,Primates,Hominidae,Chimpanzee,existing
Panthera leo,lion,Mammalia,Carnivora,Felidae,Lion,existing
Panthera tigris,tiger,Mammalia,Carnivora,Felidae,Tiger,existing
Papio anubis,olive baboon,Mammalia,Primates,Cercopithecidae,Olive_baboon,existing
Papio ursinus,chacma baboon,Mammalia,Primates,Cercopithecidae,Papio_ursinus,existing
Petaurus breviceps,sugar glider,Mammalia,Diprotodontia,Petauridae,Petaurus_breviceps,existing
Phascolarctos cinereus,koala,Mammalia,Diprotodontia,Phascolarctidae,Koala,existing
Phoca vitulina,harbour seal,Mammalia,Carnivora,Phocidae,Harbour_seal,existing
Phocoena phocoena,harbour porpoise,Mammalia,Cetacea,Phocoenidae,Harbour_porpoise,existing
Phyllostomus discolor,pale spear-nosed bat,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus_discolor,existing
Physeter macrocephalus,sperm whale,Mammalia,Cetacea,Physeteridae,Sperm_whale,existing
Pipistrellus pipistrellus,common pipistrelle,Mammalia,Chiroptera,Vespertilionidae,Common_pipistrelle,existing
Pongo abelii,sumatran orangutan,Mammalia,Primates,Hominidae,Pongo_abelii,existing
Pongo pygmaeus,bornean orangutan,Mammalia,Primates,Hominidae,Pongo_pygmaeus,existing
Propithecus coquereli,coquerel's sifaka,Mammalia,Primates,Indriidae,Propithecus_coquereli,existing
Pteropus poliocephalus,grey-headed flying fox,Mammalia,Chiroptera,Pteropodidae,Pteropus_poliocephalus,existing
Pteropus vampyrus,large flying fox,Mammalia,Chiroptera,Pteropodidae,Large_flying_fox,existing
Rangifer tarandus,reindeer,Mammalia,Artiodactyla,Cervidae,Reindeer,existing
Rattus norvegicus,norway rat,Mammalia,Rodentia,Muridae,Brown_rat,existing
Rhinolophus ferrumequinum,greater horseshoe bat,Mammalia,Chiroptera,Rhinolophidae,Greater_horseshoe_bat,existing
Rousettus aegyptiacus,Egyptian fruit bat,Mammalia,Chiroptera,Pteropodidae,Egyptian_fruit_bat,existing
Saccopteryx bilineata,greater sac-winged bat,Mammalia,Chiroptera,Emballonuridae,Greater_sac-winged_bat,existing
Saguinus oedipus,cotton-top tamarin,Mammalia,Primates,Callitrichidae,Saguinus_oedipus,existing
Saimiri sciureus,squirrel monkey,Mammalia,Primates,Cebidae,Common_squirrel_monkey,existing
Sarcophilus harrisii,tasmanian devil,Mammalia,Dasyuromorphia,Dasyuridae,Sarcophilus_harrisii,existing
Sciurus carolinensis,eastern gray squirrel,Mammalia,Rodentia,Sciuridae,Sciurus_carolinensis,existing
Scotinomys teguina,Alston's singing mouse,Mammalia,Rodentia,Cricetidae,Alston's_singing_mouse,existing
Sousa chinensis,Indo-Pacific humpback dolphin,Mammalia,Cetacea,Delphinidae,Indo-Pacific_humpback_dolphin,existing
Spermophilus beecheyi,california ground squirrel,Mammalia,Rodentia,Sciuridae,California_ground_squirrel,existing
Stenella frontalis,Atlantic spotted dolphin,Mammalia,Cetacea,Delphinidae,Atlantic_spotted_dolphin,existing
Stenella longirostris,spinner dolphin,Mammalia,Cetacea,Delphinidae,Stenella_longirostris,existing
Suricata suricatta,meerkat,Mammalia,Carnivora,Herpestidae,Meerkat,existing
Sus scrofa domesticus,domestic pig,Mammalia,Artiodactyla,Suidae,Domestic_pig,existing
Symphalangus syndactylus,siamang,Mammalia,Primates,Hylobatidae,Symphalangus_syndactylus,existing
Tadarida brasiliensis,mexican free-tailed bat,Mammalia,Chiroptera,Molossidae,Mexican_free-tailed_bat,existing
Tapirus terrestris,lowland tapir,Mammalia,Perissodactyla,Tapiridae,Tapirus_terrestris,existing
Tarsius syrichta,philippine tarsier,Mammalia,Primates,Tarsiidae,Tarsius_syrichta,existing
Tarsius tarsier,spectral tarsier,Mammalia,Primates,Tarsiidae,Spectral_tarsier,existing
Theropithecus gelada,gelada,Mammalia,Primates,Cercopithecidae,Gelada,existing
Trichosurus vulpecula,common brushtail possum,Mammalia,Diprotodontia,Phalangeridae,Trichosurus_vulpecula,existing
Tursiops aduncus,indo-pacific bottlenose dolphin,Mammalia,Cetacea,Delphinidae,Tursiops_aduncus,existing
Tursiops truncatus,bottlenose dolphin,Mammalia,Cetacea,Delphinidae,Common_bottlenose_dolphin,existing
Urocitellus beldingi,belding's ground squirrel,Mammalia,Rodentia,Sciuridae,Urocitellus_beldingi,existing
Ursus americanus,american black bear,Mammalia,Carnivora,Ursidae,Ursus_americanus,existing
Ursus arctos,brown bear,Mammalia,Carnivora,Ursidae,Brown_bear,existing
Vulpes vulpes,red fox,Mammalia,Carnivora,Canidae,Red_fox,existing
Zalophus californianus,California sea lion,Mammalia,Carnivora,Otariidae,California_sea_lion,existing
Alligator mississippiensis,American alligator,Reptilia,Crocodilia,Alligatoridae,American_alligator,existing
Anolis carolinensis,green anole,Reptilia,Squamata,Dactyloidae,Green_anole,existing
Chelonia mydas,green sea turtle,Reptilia,Testudines,Cheloniidae,Green_sea_turtle,existing
Crocodylus niloticus,nile crocodile,Reptilia,Crocodilia,Crocodylidae,Nile_crocodile,existing
Crotaphytus collaris,eastern collared lizard,Reptilia,Squamata,Crotaphytidae,Eastern_collared_lizard,existing
Iguana iguana,green iguana,Reptilia,Squamata,Iguanidae,Green_iguana,existing
Gekko gecko,tokay gecko,Squamata,,Gekkonidae,Gekko_gecko,existing
Caretta caretta,loggerhead sea turtle,Testudines,,Cheloniidae,Caretta_caretta,existing
Amphiprion clarkii,clark's anemonefish,,Perciformes,Pomacentridae,Amphiprion_clarkii,existing
Halobatrachus didactylus,lusitanian toadfish,,Batrachoidiformes,Batrachoididae,Halobatrachus_didactylus,existing
Opsanus tau,oyster toadfish,,Batrachoidiformes,Batrachoididae,Opsanus_tau,existing
Pomacentrus partitus,bicolor damselfish,,Perciformes,Pomacentridae,Pomacentrus_partitus,existing
Thryothorus ludovicianus,Carolina Wren,Aves,Passeriformes,Troglodytidae,Thryothorus_ludovicianus,gbif
Troglodytes troglodytes,Eurasian Wren,Aves,Passeriformes,Troglodytidae,Troglodytes_troglodytes,gbif
Strix aluco,Tawny Owl,Aves,Strigiformes,Strigidae,Strix_aluco,gbif
Loxia curvirostra,Red Crossbill,Aves,Passeriformes,Fringillidae,Loxia_curvirostra,gbif
Chloris chloris,European Greenfinch,Aves,Passeriformes,Fringillidae,Chloris_chloris,gbif
Dendrocopos major,Great Spotted Woodpecker,Aves,Piciformes,Picidae,Dendrocopos_major,gbif
Sylvia communis,Greater Whitethroat,Aves,Passeriformes,Sylviidae,Sylvia_communis,gbif
Corvus cornix,Hooded Crow,Aves,Passeriformes,Corvidae,Corvus_cornix,gbif
Periparus ater,Coal Tit,Aves,Passeriformes,Paridae,Periparus_ater,gbif
Oriolus oriolus,Eurasian Golden Oriole,Aves,Passeriformes,Oriolidae,Oriolus_oriolus,gbif
Emberiza citrinella,Yellowhammer,Aves,Passeriformes,Emberizidae,Emberiza_citrinella,gbif
Baeolophus bicolor,Tufted Titmouse,Aves,Passeriformes,Paridae,Baeolophus_bicolor,gbif
Troglodytes aedon,House Wren,Aves,Passeriformes,Troglodytidae,Troglodytes_aedon,gbif
Rallus aquaticus,Water Rail,Aves,Gruiformes,Rallidae,Rallus_aquaticus,gbif
Bubo virginianus,Great Horned Owl,Aves,Strigiformes,Strigidae,Bubo_virginianus,gbif
